"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000272398",70040.0803954925,-6.06583325345563,1.42500357800053,-4.25671440205561,NA,NA
"ENSG00000135439",16495.2063842612,-3.17699485667745,1.3515373968047,-2.35065257105611,0.0187405229353184,0.0500948593847934
"ENSG00000130348",9084.00795570396,-3.88911500487064,1.25845776774328,-3.0903818185689,NA,NA
"ENSG00000198719",23385.8008192779,-6.14107287867436,1.42865128711091,-4.29851072412018,NA,NA
"ENSG00000169429",8983.68412249732,-3.758950779453,1.25303259055144,-2.99988269083948,0.00270083603907863,0.0171300403772772
"ENSG00000171608",6194.42837150093,-3.42389105704506,1.2779402166401,-2.67922631470742,NA,NA
"ENSG00000164494",6432.12712364124,-3.81384804222664,1.25496123567115,-3.03901661168601,NA,NA
"ENSG00000198732",8867.2937723462,-4.86150176607818,1.2064993366514,-4.02942763281672,5.59128247649164e-05,0.00310875305692935
"ENSG00000130349",3983.54394103375,-3.40583261561875,1.2126630057926,-2.80855653990424,NA,NA
"ENSG00000173404",3610.12112303218,-3.53273702979877,1.37226109442946,-2.57439130508,NA,NA
"ENSG00000142549",2556.23622375482,-3.29191581802505,1.11224319877034,-2.95970865154714,0.00307930102521585,0.0171300403772772
"ENSG00000146426",2097.92793667872,-2.96209004788821,1.2771885896813,-2.31922683292006,NA,NA
"ENSG00000130347",2104.56328393433,-3.13661762040154,1.20759912209788,-2.59739971899988,NA,NA
"ENSG00000275385",5777.59771408312,-5.93262984337909,1.70920449121446,-3.47098891552977,NA,NA
"ENSG00000178409",1322.89008318768,-3.20867669050136,1.23282569208916,-2.60270102342197,0.00924925734485065,0.0342839138915797
"ENSG00000134363",1442.33746544807,-3.42485039756323,1.14907461039991,-2.98052917240185,0.00287750829164402,0.0171300403772772
"ENSG00000137142",1716.75036686388,-4.20755307951949,1.3658228447913,-3.08059943173846,0.00206584365001188,0.0171300403772772
"ENSG00000133063",1774.26610518823,-4.11485675441168,1.43946375701448,-2.85860393105423,NA,NA
"ENSG00000150275",1387.01194629061,-3.77183804809253,1.35914415595559,-2.77515672753683,0.00551751115108909,0.0235979707692733
"ENSG00000124440",1326.12570335245,-3.67939161209244,1.20625775533206,-3.05025322807527,0.00228648492953922,0.0171300403772772
"ENSG00000124102",1761.22441389019,-4.3099525536394,1.39478216965658,-3.09005423743019,0.00200119947694273,0.0171300403772772
"ENSG00000158164",1391.33680911814,-3.86662175199884,1.46816479746388,-2.63364287079902,0.00844742876763027,0.0321696602383728
"ENSG00000203710",954.925682519945,-3.47321752896177,1.38575593698393,-2.50637030393762,NA,NA
"ENSG00000253305",789.442023920945,-3.3043763662954,1.33740055340508,-2.47074547552886,NA,NA
"ENSG00000169840",748.259940850746,-2.92213766412866,1.49085283248271,-1.96004434539822,0.0499906073477909,0.105012444495331
"ENSG00000170549",1202.16668175413,-5.27607498868928,1.39572038894106,-3.7801804935244,0.000156714709431055,0.00544583615272915
"ENSG00000153132",725.109684000473,-3.63254127166346,1.19090649257598,-3.05023215030604,0.00228664541327281,0.0171300403772772
"ENSG00000111087",1100.83103899187,-4.87206363785128,1.42871267102477,-3.41010739014213,NA,NA
"ENSG00000197083",545.138241072168,-3.61560045859927,1.25053125074658,-2.89125158322971,0.00383710812969556,0.0190826236214297
"ENSG00000128573",568.125017567913,-3.76802275904237,1.15489097568816,-3.26266534102679,0.00110369769440013,0.0162449565840217
"ENSG00000188011",557.908775639468,-3.67343683965362,1.26401406060135,-2.90616770347158,0.00365885292200439,0.0188363168947633
"ENSG00000168505",495.218778443759,-3.64483973971568,1.26382100956734,-2.88398413392689,0.00392678536989106,0.0191516900496441
"ENSG00000164946",414.282887778241,-3.51797560952772,1.20629368303042,-2.91635085138632,0.00354152003024827,0.0185762748756419
"ENSG00000231789",417.454072698677,-3.53789463505385,1.27085058852204,-2.78387929077352,NA,NA
"ENSG00000257335",405.490155999903,-3.95165397423841,1.19018294222336,-3.32020720012705,NA,NA
"ENSG00000258548",523.844745862932,-4.8235762165193,1.40552892461736,-3.43185837874697,0.000599460510732101,0.0119035729988231
"ENSG00000162992",412.665345778581,-3.97435363386281,1.35415657724822,-2.9349291659751,0.00333623838317639,0.0178360436639045
"ENSG00000085552",252.618863480787,-3.20955941763003,1.23902143366621,-2.590398624609,0.00958648522733815,0.0344606238308871
"ENSG00000153993",281.226616413649,-3.73057630665069,1.24704605628539,-2.99153049548391,0.00277582812068359,0.0171300403772772
"ENSG00000108342",329.862503284596,-4.11760323827183,1.45892191729948,-2.82236025756175,0.004767159261396,0.0213753270107756
"ENSG00000263958",310.015397424875,-4.1775542357516,1.34521186543217,-3.10549909876798,0.00189958199667542,0.0171300403772772
"ENSG00000253953",274.546197930159,-3.82877320204976,1.42518448315362,-2.68651058673998,NA,NA
"ENSG00000249158",229.871213979963,-3.89567314244952,1.31201588833391,-2.96922710851964,0.00298549855661338,0.0171300403772772
"ENSG00000241945",210.234584196163,-3.48089965666835,0.987895037623205,-3.52355212254443,0.000425803337918613,0.0104714436800415
"ENSG00000214456",202.678295181077,-3.40204466300972,1.11720228427019,-3.04514653336222,0.00232566969436371,0.0171300403772772
"ENSG00000206557",188.099000436157,-3.37330706626441,1.23354663522743,-2.73464088825671,0.00624483643984344,0.0259114108996489
"ENSG00000181374",183.725224953912,-3.03290825307109,1.86018900363759,-1.63043015905386,NA,NA
"ENSG00000120057",437.711312798437,-5.85018294842101,1.48965097576815,-3.92721720965833,NA,NA
"ENSG00000237125",199.778643597314,-4.2364849477017,1.40080741757419,-3.02431647245137,0.00249195613882535,0.0171300403772772
"ENSG00000125813",179.230701270892,-3.96629878857895,1.66045369648681,-2.3886837657508,0.0169088497164511,0.0488269212669648
"ENSG00000170166",173.951515950643,-3.9129997295022,1.28834332714115,-3.03723366828406,0.0023876029174527,0.0171300403772772
"ENSG00000175189",153.148630094963,-3.50660933577421,1.32859796159662,-2.63933066069151,NA,NA
"ENSG00000150244",517.530036411547,-6.89430000755277,2.05641071114116,-3.35258903788092,NA,NA
"ENSG00000249362",138.089269808493,-3.32443502200884,1.37608671164243,-2.41586158334525,0.0156980275828245,0.0476846724831935
