"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000168530",0.985381180002467,2.8980861062417,3.06303951649484,0.946147149142267,0.344073538243645,NA
"ENSG00000229404",2.25188159513316,2.03285628386438,2.09285103791332,0.971333480996926,0.331382241336021,NA
"ENSG00000250623",1.54295972832381,2.83451645579936,2.59196608751847,1.09357775529891,0.274140209749157,NA
"ENSG00000203690",2.00512399747621,3.88993857476003,2.87229122098477,1.35429811097858,0.1756412885878,NA
"ENSG00000230051",3.32182028550422,3.31662021447601,2.05754773395006,1.61192868566349,0.106977459135948,NA
"ENSG00000229228",1.75169918327841,2.98918791683201,2.93436796556524,1.01868203030775,0.308353946351148,NA
"ENSG00000231292",1.59457875811101,2.87584841943037,3.02448454720493,0.950855715922926,0.34167762459509,NA
"ENSG00000206702",2.01579333657302,2.52079302636309,2.86082905768546,0.881140737714167,0.378241650261596,NA
"ENSG00000287492",1.90245953980508,3.82079704095643,2.6273032081816,1.45426573874618,0.145872645368049,NA
"ENSG00000249460",2.08006284820827,3.94028214895633,2.50079189180773,1.57561377332683,0.115114839981213,NA
"ENSG00000285294",2.77655246551481,2.00280375966434,2.08298050909035,0.961508641546999,0.336296482572599,NA
"ENSG00000254395",2.82260894182256,2.37341778482929,2.41191669430481,0.984038043450496,0.3250968079016,NA
"ENSG00000233999",1.91780041196046,2.48573297160277,2.7244025096746,0.912395640062621,NA,NA
"ENSG00000236627",2.42697320891308,4.16511163755501,3.04158619097367,1.36938800219292,NA,NA
"ENSG00000232529",3.13472800760312,3.89564753919265,2.48843726382228,1.56549959921789,NA,NA
"ENSG00000285336",4.07174165698282,3.63422267565022,1.90454807244582,1.90818112088037,0.0563678108360161,NA
"ENSG00000258551",3.97018521961974,2.09484663105342,1.76400953183357,1.18754836255106,0.235011392093753,NA
"ENSG00000254750",3.00901347462798,4.46890095852667,2.64258720727767,1.69110822387217,0.0908161348168084,NA
"ENSG00000230936",3.23629177236266,3.9423380657384,2.35453260788487,1.6743612097519,0.0940596314904364,NA
"ENSG00000229563",5.23754259353562,3.37335163407388,2.1991279096294,1.53394971675039,NA,NA
"ENSG00000287668",1.68057874078387,3.64668080532057,3.04820633414678,1.19633660112491,0.231565231075679,NA
"ENSG00000269506",3.05732889877832,3.85151429569269,2.91599794777603,1.32082201862665,NA,NA
"ENSG00000253132",1.36255224503468,3.35921176524983,3.05302753367862,1.10028872265108,NA,NA
"ENSG00000233977",4.72219209723452,2.29550969671304,2.05519440494574,1.11693068606502,0.264023962936364,NA
"ENSG00000287849",4.06511846609755,4.27126379291614,2.31744445815904,1.84309219488661,0.065315550732476,NA
"ENSG00000288545",3.08970592671226,3.22911167892548,2.02133098000952,1.59751753219073,0.110150392789626,NA
"ENSG00000220891",2.22968733838247,2.70813898551911,2.64682236204172,1.02316612718584,NA,NA
"ENSG00000134757",5.49103189919943,3.64851557756412,2.1137678832865,1.72607200933122,0.0843344587453407,0.150288330328235
"ENSG00000108759",2.42284059286336,3.52400760880678,2.10741198596816,1.67219681404053,0.0944855185348599,NA
"ENSG00000242076",2.52684877631369,2.90026898912612,2.52149133177569,1.15021969442333,0.250053396605059,NA
"ENSG00000184344",4.10977784658826,3.65932190640855,2.33321681995175,1.56835913195767,0.116797343077223,NA
"ENSG00000242207",4.47593126466257,4.42482020757225,2.51397341792005,1.76009029213727,0.0783924985136465,NA
"ENSG00000286481",3.67657374247286,2.501729154721,1.7063692453662,1.46611242643682,0.142617660919299,NA
"ENSG00000215117",6.20830506859163,2.9976610425405,1.89938463689736,1.57822748710717,0.11451335767022,0.177847561074421
"ENSG00000257927",5.31426976106669,3.13761809339469,2.07139128126008,1.5147394515854,0.129838399329047,0.194114508534419
"ENSG00000243063",2.14118409088527,3.32160794678678,2.60417765705041,1.27549206859756,0.202135129679149,NA
"ENSG00000227255",1.77047036804066,3.72598511056416,2.91332386264727,1.27894641523941,0.20091592615134,NA
"ENSG00000253239",2.58869587392639,2.45186764033174,3.01038875610421,0.814468774293706,NA,NA
"ENSG00000239975",2.68857424829614,3.6619193515675,2.43770186015208,1.5022014838759,0.133045081731246,NA
"ENSG00000256325",5.28486880379652,3.03371960582723,2.12203061173438,1.42963046294026,0.152823107598531,0.21565900463143
"ENSG00000211794",6.98469167131659,3.47519209330788,1.7939022880527,1.93722485134919,0.0527178637120356,0.106974935123693
"ENSG00000220913",4.15584448710165,4.31866429605236,2.58285905258984,1.67204799337464,NA,NA
"ENSG00000236081",6.98492301192677,2.88306820064688,1.77058334181644,1.62831544415703,0.103458016365303,0.166914368674074
"ENSG00000233215",4.32723675496249,3.75198596021451,2.40178617705516,1.56216485716261,NA,NA
"ENSG00000287417",3.47058517045048,2.33501405978378,1.94381540543971,1.20125298587989,0.229653081457763,NA
"ENSG00000196406",5.07104773591472,4.59947866714087,2.52927923646522,1.81849382259938,NA,NA
"ENSG00000186847",5.43951968939669,4.08409376703247,1.88759441052649,2.16365006394214,NA,NA
"ENSG00000109132",3.16539510582465,3.91853372463495,2.60146443286247,1.50627995337352,0.131995322066077,NA
"ENSG00000204528",6.85074258597598,2.64347271345571,2.10544557736551,1.2555407472291,0.209282525786309,0.269289299988425
"ENSG00000099399",6.56653669381685,3.76589049987555,2.21276681278927,1.70189216419443,NA,NA
"ENSG00000286580",3.7100586443545,2.41388906041595,2.01646024338586,1.19709231477967,0.231270575111812,NA
"ENSG00000243955",5.99395145298239,3.09779302848218,1.59855391840847,1.93787209352711,0.0526388293921261,0.106974935123693
"ENSG00000112499",8.43062231260806,3.00795682315216,1.80256563962362,1.66870862121849,0.0951751397471684,0.157477115784581
"ENSG00000232325",8.36526245957459,2.91180567266862,1.89711285739626,1.53486159841065,NA,NA
"ENSG00000144010",5.40248806485217,4.70286530090258,2.34560251139936,2.00497112279135,NA,NA
"ENSG00000232370",3.10810809887781,2.54387427452787,2.49816191499035,1.018298397419,NA,NA
"ENSG00000278857",3.62886383741825,2.37188348834159,2.08209071969196,1.13918354561059,0.254626607053527,NA
"ENSG00000143196",8.71736791303829,2.06366913122766,1.39666353968036,1.47757070518211,0.139522720258123,0.203074954092975
"ENSG00000234261",7.62815545189066,3.61297328761951,2.01520511141351,1.792856353508,NA,NA
"ENSG00000227017",6.92595851129254,2.05608796158472,1.33974285870992,1.53468850251203,0.124860361380239,0.188647719911448
"ENSG00000261399",6.36430784149473,2.44460180011552,1.58866915615305,1.53877337559389,0.123859631851289,0.188158347839663
"ENSG00000224141",5.76136191710202,4.18459382214511,2.13825927332389,1.95700955181185,0.0503463453537134,0.105012444495331
"ENSG00000250102",5.91941175503875,4.83952690969663,2.68070665661358,1.80531760077404,NA,NA
"ENSG00000236212",3.74766224627189,3.52573068750492,1.84758316885029,1.90829335693663,0.0563533111315555,NA
"ENSG00000258712",4.84922472533171,5.16074574576616,2.699018543449,1.9120823598238,NA,NA
"ENSG00000278097",3.25770721827493,2.77992290929279,2.6814905736573,1.03670806699918,NA,NA
"ENSG00000251363",3.6908301453694,2.83066488052903,2.22318544971713,1.27324730417303,NA,NA
"ENSG00000158485",11.0919573472411,3.06524035411036,2.1002786832312,1.45944458637013,NA,NA
"ENSG00000144015",7.12323575849467,4.50918721661555,2.65347018207136,1.69935477213299,NA,NA
"ENSG00000231171",5.50537925493396,4.12006652474591,2.16694662416716,1.90132349306454,0.0572596537244071,0.114137541827935
"ENSG00000278473",2.13269047048907,3.99685159320616,3.04348246532287,1.31324942356195,NA,NA
